label,status,variants,gnd_candidates,wikidata_candidates,resolved_gnd_id,resolved_wikidata_id,resolved_label,notes
Aaron,ambiguous,Aaron,"102417857|Aaron, Coloniensis|0.714 || 106724610X|Scotch, Aaron|0.588 || 118986481|Copland, Aaron|0.588 || 1036341909|Blabey, Aaron|0.588 || 135542588|McLean, Aaron|0.588","Q905085|Aaron|1.000|male given name || Q301610|Aaron|1.000|family name || Q66619221|Aaron|1.000|name: given name and family name || Q51676|Aaron|1.000|male human biblical and quranic figure, brother of Moses || Q66615366|Aharon / Aaron|1.000|male given name (אהרן)",,,,
Abraham,ambiguous,Abraham,"122066073|Nethe, Abraham|0.737 || 119177323|Calov, Abraham|0.700 || 128552123|Kämpffe, Abraham|0.667 || 11976959X|Musculus, Abraham|0.667 || 1089382391|Bickhart, Abraham|0.667",Q17997608|Abraham|1.000|male given name || Q13367920|Abraham|1.000|family name || Q9181|Abraham|1.000|Hebrew patriarch according to the Hebrew Bible || Q108584749|Abraham|1.000|archbishop of Kerkūk (Chaldean) || Q98045372|Abraham|1.000|name,,,,
Adam,ambiguous,Adam,1064951899|Adam|1.000 || 1203661770|Adam|1.000 || 1157873146|Adam|1.000 || 130855073|Adam|1.000 || 132666170|Adam|1.000,"Q347181|Adam|1.000|male given name || Q10379699|Adam|1.000|family name || Q70899|Adam|1.000|first man according to the Abrahamic creation and religions such as Judaism, Christianity and Islam || Q28149770|Design Museum Brussels|1.000|design museum in Brussels || Q5|human|1.000|any single member of Homo sapiens, unique extant species of the genus Homo",,,,
Alexander I. von Alexandria,no_match,Alexander I. von Alexandria;Alexander I. of Alexandria;Alexander I. from Alexandria,,,,,,
Ammon von Hadrianopolis,no_match,Ammon from Hadrianopolis;Ammon von Hadrianopolis;Ammon of Hadrianopolis,,,,,,
Anastasios (Presbyter in Konstantinopel),ambiguous,Anastasios,"1076279953|Gurgurinēs, Anastasios|0.413 || 1223119963|Aslanidēs, Anastasios|0.400 || 116510366|Chrēstomanos, Anastasios|0.381 || 1179840445|Polychroniadēs, Anastasios|0.364 || 1185784101|Babuskos, Anastasios|0.351","Q486886|Anastasios Giannoulatos|0.567|former Primate of Orthodox Autocephalous Church of Albania, Member of Academy of Athens, President of World Council of Churches, Honorary President of Religions for Peace || Q61626649|Anastasios Markou|0.509|researcher ORCID ID = 0000-0002-0812-6818 || Q486872|Anastasios Soulis|0.509|actor || Q2845537|Anastasios Bakasetas|0.483|Greek association football player || Q173470|Anastasius I|0.480|Byzantine Emperor from 491 to 518",,,,
"Äneas (Apg 9,34)",ambiguous,Äneas,"135184517|V., Aeneas|0.609 || 11850083X|Äneas|0.571 || 104114584|Aeneas, Vulpes|0.571 || 1089759924|Aeneas, Vulpes|0.571 || 118647148|Aeneas, Gazaeus|0.552","Q82732|Aeneas|0.571|Trojan hero, son of Anchises and Aphrodite || Q136740|1172 Äneas|0.571|asteroid || Q405969|Aeneas Tacticus|0.533|4th century BC Greek writer || Q146572|Typha angustifolia|0.500|species of plant || Q112148738|Aneas|0.500|",,,,
Antiochos von Ptolemais,no_match,Antiochos from Ptolemais;Antiochos von Ptolemais;Antiochos of Ptolemais,,,,,,
Antiochus (praefectus praetorio Orientis),ambiguous,Antiochus,"102379963|Antiochus, Eparches|0.870 || 102379971|Antiochus, Ptolemaeus|0.600 || 102379939|Antiochus, Aegaeus|0.594 || 118503421|Antiochus, Ascalonius|0.590 || 102379998|Antiochus VIII., Seleukidenreich, König|0.590","Q3618741|Antiochus Chuzon|0.509|Roman consul || Q222930|Antiochus II Theos|0.421|king of Seleucid Empire from 261 BC to 246 BC || Q1122084|Antiochus|0.375|Roman politician, pretorian prefect || Q30939265|Antiochus|0.375|Roman general under Constantius II || Q2045778|Antiochus|0.375|Seleucid prince (221 BC–193 BC)",,,,
Antiochus (praefectus praetorio Illyriens),ambiguous,Antiochus,"102379963|Antiochus, Eparches|0.857 || 102379998|Antiochus VIII., Seleukidenreich, König|0.642 || 102379971|Antiochus, Ptolemaeus|0.592 || 102379939|Antiochus, Aegaeus|0.554 || 118503421|Antiochus, Ascalonius|0.548","Q3618741|Antiochus Chuzon|0.500|Roman consul || Q222930|Antiochus II Theos|0.414|king of Seleucid Empire from 261 BC to 246 BC || Q1122084|Antiochus|0.367|Roman politician, pretorian prefect || Q30939265|Antiochus|0.367|Roman general under Constantius II || Q2045778|Antiochus|0.367|Seleucid prince (221 BC–193 BC)",,,,
Apolinarios von Laodikea,no_match,Apolinarios of Laodikea;Apolinarios von Laodikea;Apolinarios from Laodikea,,,,,,
Apollos,ambiguous,Apollos,"124204961|Apollos|1.000 || 1055151931|Bajbakov, Andrej D.|1.000 || 132741725|Oji, Apollos|0.778 || 1044117729|Ivanov, Apollos Feodosʹevič|0.667 || 1051680204|Ivanov, Apollos Feodosʹevič|0.667",Q335114|Apollos|1.000|early Christian proselytizer from Alexandria || Q4068067|Apollos|1.000| || Q4068066|Apollos|1.000| || Q113376977|Apollos|1.000|imprint of InterVarsity Press || Q55849|Apollosa|0.933|Italian comune,,,,
Apringios von Chalkis,no_match,Apringios von Chalkis;Apringios of Chalkis;Apringios from Chalkis,,,,,,
Archelaos von Myndos,no_match,Archelaos from Myndos;Archelaos of Myndos;Archelaos von Myndos,,,,,,
Arius,ambiguous,Arius,"118645781|Arius, Haeresiarcha|1.000 || 128054042|Arius|1.000 || 174177143|Arius, Claus|0.625 || 102381933|Arius, Tarsensis|0.556 || 119362805|Arius, Didymus|0.556",Q2141569|Arius|1.000|genus of fishes || Q106026|Arius|1.000|Cyrenaic presbyter and founder of Arianism (died 336) || Q53858330|Arius|1.000|ancient Roman nomen || Q131143355|Arius|1.000|family name || Q3130572|Henri Arius|1.000|French actor (1897-1968),,,,
Athanasius von Alexandria,ambiguous,Athanasius from Alexandria;Athanasius von Alexandria;Athanasius of Alexandria,"118504843|Athanasius, Alexandrinus, Heiliger|0.848","Q44024|Athanasius of Alexandria|1.000|Pope of Alexandria from 328 to 373 (296–373) || Q122330947|Sant'Attanasio e di San Rocco|0.939|religious building in Barile, Italy || Q123586528|Sant'Atanasio|0.939|religious building in Monte Sabinese, Carsoli, Italy || Q121792070|Sant'Anastasio|0.939|religious building in Camerino, Italy || Q118613594|Sant'Atanasio il Grande|0.939|religious building in Santa Sofia d'Epiro, Italy",,,,
Augustus,ambiguous,Augustus,"119518252|Augustus, Louis|0.889 || 1011174626|Napier, Augustus|0.696 || 138328935|Metzler, Augustus|0.696 || 14199049X|Harris, Augustus|0.696 || 1056128453|Peirce, Augustus|0.696","Q770041|Augustus|1.000|male given name || Q1405|Augustus|1.000|first emperor of the Roman Empire and founder of the Julio-Claudian dynasty || Q211804|Augustus|1.000|imperial rank, honorific and title || Q37552744|Augustus|1.000|family name || Q113574811|Augustus|1.000|name",,,,
Barnabas,ambiguous,Barnabas,"118652559|Barnabas|1.000 || 1051303125|Barnabas, Franciscus|1.000 || 1202627498|Nwoye, Barnabas|1.000 || 102554625|Barnabas, Sassoni|0.762 || 1127354663|Koch, Barnabas|0.762",Q18978281|Barnabas|1.000|male given name || Q185856|Barnabas|1.000|early Christian disciple and bishop || Q37300194|Barnabas|1.000|family name || Q4103932|Barnabas|1.000|Russian Orthodox bishop (1957–) || Q60786073|Barnabás|0.875|male given name,,,,
Baruch,ambiguous,Baruch,"171769015|Baruch, Yehuda|0.857 || 1249243386|Baruch, Jacob|0.857 || 1233694782|Baruch, Lili|0.706 || 116075899|Baruch, Jakob|0.667 || 1270531786|Osnia, Baruch|0.667",Q9166352|Baruch|1.000|male given name || Q37237941|Baruch|1.000|family name || Q599907|Baruch ben Neriah|1.000|biblical figure || Q211746|Book of Baruch|1.000|deuterocanonical book of the Bible in some Christian traditions || Q104412507|Baruch|1.000|male given name (ברוך),,,,
Basilius von Konstantinopel (Diakon),no_match,Basilius of Konstantinopel;Basilius von Konstantinopel;Basilius from Konstantinopel,,,,,,
Benjamin,ambiguous,Benjamin,"1076345077|Benjamin|1.000 || 123635098|Benjamin|1.000 || 103773452|Lees, Benjamin|0.762 || 116786930|Heyden, Benjamin|0.727 || 120481553|Rudijard, Benjamin|0.696","Q817365|Benjamin|1.000|family name || Q817379|Benjamin|1.000|city in and county seat of Knox County, Texas, United States || Q460763|Benjamin|1.000|Biblical character || Q21393419|Suresh P. Benjamin|1.000|Sri Lankan arachnologist || Q2780766|Benjamin|1.000|census-designated place in Utah County, Utah, United States",,,,
Buphas Martyrios (Diakon),no_match,Buphas Martyrios,,,,,,
Chairemon (Ankläger Kyrills),ambiguous,Chairemon,"119194155|Chairemon, von Alexandrien|0.655 || 102384533|Chaeremon, Tragicus|0.622 || 1157188516|Chaeremon, Alexandrinus|0.571 || 102384525|Chaeremon, Epigrammaticus|0.549","Q897689|Chaeremon of Alexandria|0.549|Stoic philosopher, historian, and grammarian || Q1108102|Chaeremon|0.500|4th century BC Greek dramatist and poet || Q2972090|Chaeremon|0.500|Wikimedia disambiguation page || Q12886000|Chaeremon|0.500|Athenian admiral || Q50964087|Chairemon 5 (Pauly-Wissowa)|0.500|encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE)",,,,
David,ambiguous,David,"1139507419|David|1.000 || 1157860907|David|1.000 || 1157869106|David|1.000 || 1014388422|David, Boschus|0.667 || 11535218X|Pötzsch, David|0.588",Q18057751|David|1.000|male given name || Q12652673|David|1.000|family name || Q41370|David|1.000|king of Israel and Judah || Q55810549|David|1.000|fictional character in the film series Underworld || Q179900|David|1.000|sculpture by Michelangelo,,,,
